Utility,Contaminant_Factor,Zip,county_FIPS
Davy Municipal Water Works,266,24801,54109
Gary City Of,641,24801,54109
Keystone Municipal Water,516,24801,54109
Mcdowell County Psd Bartley,12210,24801,54109
Northfork Water Works,477,24801,54109
War Water Works City Realty,349,24801,54109
Welch City Of,1232,24801,54109
Buffalo Creek Psd,1512,24827,54109
Chapmanville Town Of,1674,24827,54109
Logan Co. P S D - Crawley Creek,1584,24827,54109
Logan Co. Psd - Stollings,1043,24827,54109
Logan Co. Psd-greenville System,1461,24827,54109
Logan Co. Psd-rum Creek,852,24827,54109
Logan County Psd - MUD Fork,2826,24827,54109
Logan Water Board City Of,764,24827,54109
West Logan Water Co.,1400,24827,54109
Williamson Utility Board,852,24846,54047
Matewan Water Works,1143,24846,54047
Delbarton Town Of,2232,24851,54059
Gilbert Water Works,1404,24851,54059
Justice Psd,996,24851,54059
Kermit Water Works,1309,24851,54059
Mingo Co. Psd-ragland District,1842,24851,54059
Mingo County Psd - Delorme,10502,24851,54059
Alderson Water,1029,24901,54025
Davis Stuart Inc.,266,24901,54025
Greenbrier County Psd 2,261,24901,54025
Greenbrier Hotel Corporation,30,24901,54025
Lewisburg,1991,24901,54025
Rainelle Water Department,2113,24901,54025
Ronceverte Water,2119,24901,54025
Rupert Water,550,24901,54025
White Sulphur Springs Water,43,24901,54025
Big Bend Psd,1062,24910,54025
Gap Mills Psd,25,24910,54025
Pickaway Trailer Park,68,24910,54025
Red Sulphur Psd,636,24910,54025
Union Town Of,80,24910,54025
Wvawc Bluestone Plant,1620,24910,54025
Cass Scenic Railroad,700,24915,54075
Pocahontas Co. Psd - Cheat Mountain Water,1614,24915,54075
Denmar Correctional Center,1082,24915,54075
Hillsboro Town Of,59,24915,54075
Marlinton Town Of,652,24915,54075
Pocahontas County Psd,503,24915,54075
Armstrong Psd,1306,25002,54019
Bellwood Community Facil Imp,275,25002,54019
Danese Psd,1252,25002,54019
Gauley River Psd,1135,25002,54019
Kanawha Falls Psd,1086,25002,54019
Meadow Bridge Town Of,636,25002,54019
Mount Hope Water,474,25002,54019
Page Kincaid Psd,266,25002,54019
Pax Water Company,1052,25002,54019
WVAWC - New River Regional Water Treatment Plant,1276,25002,54019
Wvawc Montgomery Heights District,1455,25002,54019
Branchland Midkiff Psd,1333,25003,54039
Cedar Grove Community Of,1402,25003,54039
East Bank Water Department,1274,25003,54039
Lincoln Psd,1108,25003,54039
Lincoln Psd - Route 3,1603,25003,54039
Reamer Hill Water Assoc,1224,25003,54039
St Albans Water,1719,25003,54039
West Hamlin City Of,581,25003,54039
West Virginia American Water Company - Kanawha Valley District,1193,25003,54039
Clover Psd,1764,25005,54087
Reedy Water Service Town Of,1834,25005,54087
Spencer Water Department,246,25005,54087
Walton Psd,1220,25005,54087
Beckley Water Company,1414,25007,54081
Cool Ridge Flat Top Psd,1670,25007,54081
Lester Municipal Water Works,1306,25007,54081
Raleigh County Mem Airport,16143,25007,54081
Rhodell Water Works,152,25007,54081
Wvawc Glade Springs District,1800,25007,54081
Hurricane City Of,1130,25011,54079
South Putnam PSD,1675,25011,54079
Wvawc 5 and 20 Mile Road District,374,25011,54079
Clay Co. P S D - Ivydale,1262,25019,54015
Clay Co. P S D-triplett Ridge,1041,25019,54015
Clay Co. Psd-hartland,1288,25019,54015
Clay Water Department,1258,25019,54015
Clay-roane Psd (procious District),536,25019,54015
Birch River Psd,1109,25043,54015
Craigsville Psd,772,25043,54015
Fenwick Mountain Psd,1341,25043,54015
Nettie Leivasy Psd,1075,25043,54015
Richwood Water Department,922,25043,54015
Summersville Municipal Water,978,25043,54015
Wilderness Psd,1349,25043,54015
Burnsville Public Utility,1138,25063,54007
Flatwoods Canoe Run Psd,1907,25063,54007
Sugar Creek Psd,1691,25063,54007
Wvaw- Gassaway,961,25063,54007
Gallipolis Ferry,202,25082,54079
Hartford Town Of,153,25082,54079
J-2-y-35 Water,223,25082,54079
Mason Co. Psd-crab Creek,217,25082,54079
Mason Co. Psd-foglesong District,129,25082,54079
Mason Co. Psd-lakin District,358,25082,54079
Mason County Psd-camp Conley,151,25082,54079
Mason Water Department,151,25082,54079
New Haven Water Department,791,25082,54079
Cottageville Psd,327,25124,54079
Northern Jackson County Psd,439,25124,54079
Ravenswood Municipal Water Works,129,25124,54079
Ripley City Of,1222,25124,54079
Southern Jackson County P S D,3082,25124,54079
Grantsville Municipal,999,25141,54015
Mount Zion P S D,1379,25141,54015
Pleasant Hill P S D Rt 16 District,963,25141,54015
Elizabeth Water Department,1460,25252,54035
Gilmer Co. Psd,1098,25267,54021
Gilmer Co. Psd - Route 33/119,1146,25267,54021
Gilmer County Psd - Federal Prison,3669,25267,54021
Glenville Utility,1134,25267,54021
Berkeley Co. Pswd-glenwood Forest,21,25401,54003
Berkeley County PSD - Bunker Hill,300,25401,54003
City of Martinsburg,1225,25401,54003
G and E Mobile Home Park,159,25401,54003
Judy Lynn Mobile Home Park,6,25401,54003
Berkeley Estates,180,25401,54003
Va Medical Center,261,25401,54003
Woods Hoa The,57,25401,54003
Woods Home Owners Association 2,102,25401,54003
Apple Orchard Acres,707,25411,54065
Berkeley Springs Center - Lower,4564,25411,54065
Morgan Village Mobile Home Park,234,25411,54065
Paw Paw Water Works,989,25411,54065
Sky Line Village Mobile Home Park,648,25411,54065
Tri Lake Holdings Inc.,1595,25411,54065
Waughs Community Home Park,1017,25411,54065
Cave Quarter Utility,90,25414,54037
Charles Town Utilities,4741,25414,54037
Corporation Of Harpers Ferry,1546,25414,54037
Leights Mobile Home Park,71,25414,54037
Potomac Farms Water Co.,127,25414,54037
Russells Mobile Home Park,52,25414,54037
Shenandoah Mini Homes,102,25414,54037
The Mountain Water System,731,25414,54037
Walnut Grove Utilities,302,25414,54037
Central Hampshire Psd,3015,25422,54065
Global Capital Of World Peace,881,25422,54065
Romney Water Department,824,25422,54065
Town Of Capon Bridge Inc.,38,25422,54065
Ceredo Water Works,1716,25504,54011
Crum Psd,1323,25504,54011
Fort Gay Water Works,1350,25504,54011
Kenova Municipal Water,1824,25504,54011
Lavalette Psd,1670,25504,54011
Lavalette Psd - Eastern District,1595,25504,54011
Lavalette Psd-route 52 North District,1713,25504,54011
Wayne Water Town Of,1290,25504,54011
West Virgina American Water Company - Huntington District,1460,25504,54011
Beech Bottom Water Department,211,26003,54069
Benwood Water Department,157,26003,54069
Bethlehem,2359,26003,54069
Brooke County Psd,2537,26003,54069
Cameron Water,584,26003,54069
City of Wheeling,2097,26003,54069
Follansbee Hooverson Heights,1440,26003,54069
Follansbee Municipal,450,26003,54069
Glen Dale Water Works,309,26003,54069
Hammond Psd,1425,26003,54069
Iskcon - New Vrindaban,690,26003,54069
Mcmechen Municipal Water,157,26003,54069
Moundsville,151,26003,54069
Ohio County Psd,2361,26003,54069
Triadelphia Water Department,2308,26003,54069
Valley Grove Water Department,2566,26003,54069
Washington Pike Psd,717,26003,54069
Weirton Area Water Board,2239,26003,54069
Wellsburg City Of,829,26003,54069
Beaver Falls Municipal Authority,1766,26034,54029
Ambridge Water Authority,2235,26034,54029
Creswell Heights Jt Authority,1080,26034,54029
Center Twp Water Authority,1236,26034,54029
Chester Water Department,916,26047,54029
Grant Psd,596,26047,54029
New Cumberland City Of,226,26047,54029
Oakland Psd,399,26047,54029
Oakland Psd Golden Key Acres,2185,26047,54029
Tomlinson Psd,849,26047,54029
Grandview - Doolin Psd,939,26055,54051
Hundred Littleton Psd,413,26055,54051
New Martinsville,209,26055,54051
Paden City City Of,249,26055,54051
Wetzel Co. Psd 1,595,26055,54051
Central Boaz Psd,14069,26101,54107
City of Vienna,595,26101,54107
Claywood Park Psd,1396,26101,54107
Lubeck Psd,466,26101,54107
Mineral Wells Psd,1483,26101,54107
Parkersburg Water Department,7107,26101,54107
Union Williams P S D,608,26101,54107
Williamstown Water Department,402,26101,54107
Belmont City Of,183,26134,54073
Pleasants Co. Psd,749,26134,54073
Cairo Water Department,1436,26137,54021
Ellenboro-lamberton Psd,1757,26137,54021
Harrisville,1468,26137,54021
Hughes River Water,19,26137,54021
Pennsboro,1589,26137,54021
Bens Run Industrial Park Water System,97,26146,54095
Middlebourne Water Works,1074,26146,54095
Sistersville Municipal Water,1017,26146,54095
Tyler County Psd (fka Friendly Psd),92,26146,54095
Adrian P S D,1265,26201,54097
Belington Town Of,1040,26201,54097
Buckhannon Water Board,1199,26201,54097
Central Barbour Psd,1589,26201,54097
Century Volga Psd,1090,26201,54097
Elkins Road Psd,1432,26201,54097
Hodgesville Psd - Sauls Run,4583,26201,54097
Jane Lew Psd,1621,26201,54097
Junior Town Of,356,26201,54097
Philippi City Of,1539,26201,54097
Wvaw - Weston,1771,26201,54097
Camden On Gauley - Cowen,2658,26203,54101
Cowen Psd,749,26203,54101
Wvaw - Webster Springs,1114,26203,54101
Beverly Town Of,1362,26224,54083
Coalton Water System,170,26224,54083
Elkins City Of,983,26224,54083
Harman Town Of,589,26224,54083
Huttonsville Psd,793,26224,54083
Huttonsville Town Of,775,26224,54083
Leadsville Psd,1581,26224,54083
Midland Psd,1387,26224,54083
Mill Creek Water Department,610,26224,54083
Norton Harding Jimtown Psd,466,26224,54083
Whitmer Public Water System,258,26224,54083
Clarksburg Water Board,1811,26238,54001
Bridgeport City Of,1296,26238,54001
Shinnston City Of,749,26238,54001
Davis Water Works,890,26254,54083
Hamrick Psd,506,26254,54083
Parsons City Of,587,26254,54083
Thomas City Of,852,26254,54083
Timberline-cv Psd,119,26254,54083
Albright Town Of,980,26287,54093
Alpine Lake Public Utilities,273,26287,54093
Arthurdale Water Assoc.,691,26287,54093
Big Sandy Mobile Home Park,282,26287,54093
Bruceton Mills Water Department,894,26287,54093
Denver Water Assoc,1434,26287,54093
Kingwood Water Board,1021,26287,54093
Masontown Water Works,1656,26287,54093
Newburg Town Of,1303,26287,54093
Preston Co. Psd 1 Purchaser,1162,26287,54093
Preston County Psd 1,3026,26287,54093
Rowlesburg Water Works,1055,26287,54093
Terra Alta Water Works,527,26287,54093
Tunnelton Town Of,1181,26287,54093
Anmoore Town Of,1822,26301,54033
Coons Run Psd,1218,26301,54033
East View Psd 172,3448,26301,54033
Enlarged Hepzibah Psd,1293,26301,54033
Greater Harrison Psd - Quiet Dell,5477,26301,54033
Lumberport Town Of,1145,26301,54033
Nutter Fort Town Of,1831,26301,54033
Salem Water Board,1876,26301,54033
Shinnston - Saltwell Road,1758,26301,54033
Shortline Psd,2210,26301,54033
Stonewood City Of,1718,26301,54033
Summit Park Psd,1735,26301,54033
Sun Valley Psd,1742,26301,54033
Tri County Clarksburg,1811,26301,54033
West Milford Water Works,1322,26301,54033
Grafton City Of,1719,26330,54033
Southwestern Water District,1773,26330,54033
Haymond Psd,1760,26347,54091
Taylor County Psd,1218,26347,54091
Cheat View Psd,1609,26374,54077
Clinton Water Assoc - Kingwood Pike,3317,26374,54077
Morgantown Utility Board,1520,26374,54077
Star City Town Of,1785,26374,54077
City of Fairmont,1922,26437,54103
Valley Falls Psd,2132,26437,54103
Monongah Town Of,1161,26437,54103
Tri-county Water Assoc - Fairmont,2154,26448,54033
Bingamon Psd,811,26559,54049
Downs Psd,2289,26559,54049
Fair Oaks Subdivision,1754,26559,54049
Fairview Town Of,626,26559,54049
Farmington Town Of,1419,26559,54049
Four States Psd,1486,26559,54049
Grant Town Town Of,1937,26559,54049
Hutchinson Community Water Assoc,993,26559,54049
Ices Run Psd,2351,26559,54049
Little Creek Psd,2083,26559,54049
Mannington City Of,2309,26559,54049
Mannington Psd,1382,26559,54049
Mannington Psd - Logansport,2701,26559,54049
Ministers Run Water Assoc,1557,26559,54049
Montana Water Assoc,2210,26559,54049
Monumental Psd - Chesapeake,2361,26559,54049
Monumental Psd,2251,26559,54049
Paw Paw Route 19 Psd,2543,26559,54049
Rayford Acres,1422,26559,54049
Rivesville Town Of,1761,26559,54049
Sugar Lane Water Assoc,2032,26559,54049
Sunny View Acres Water Project,1458,26559,54049
Tri County Water Assoc - Shinnston,812,26559,54049
Worthington Town Of,918,26559,54049
Grant Co. Psd-northfork-maysville,741,26707,54023
Grant Co. Psd-us 220 S,677,26707,54023
Grant County Psd Welton Orchard,914,26707,54023
Mountain Top Psd,1274,26707,54023
Petersburg Town Of,891,26707,54023
Carpendale Town Of,97,26710,54057
Fountain Psd,51,26710,54057
Fountain Psd Burlington,62,26710,54057
Frankfort Psd,1060,26710,54057
Frankfort Psd Wiley Ford,76,26710,54057
Keyser City Of,1165,26710,54057
New Creek Water Association,1208,26710,54057
Piedmont Municipal Water Wks,1187,26710,54057
Ridgeley Town Of,2063,26710,54057
Caledonia Heights Subdivision,1342,26755,54027
Hardy County Psd 220 N,7547,26755,54027
Moorefield Municipal Water,1013,26755,54027
Wardensville Town Of,343,26755,54027
Franklin Municipality Of,237,26802,54071
Pendleton Co. Psd(brandywine),3183,26802,54071
Pendleton County Psd Riverton,97,26802,54071
Restway Travel Park,829,82001,56021
Albin Town Of,158,82001,56021
Burns Board Of Public Utilities,510,82001,56021
Carpenter Water & Sewer District,34,82001,56021
Cheyenne Board Public Utilities,1017,82001,56021
Hide-a-way Mobile Village,1247,82001,56021
Highland Ranch Estates,64,82001,56021
Miller Lower Mobile Home Park,831,82001,56021
Kronber,1050,82001,56021
Pine Bluffs Town Of,363,82001,56021
South Cheyenne Water and Sewer District,1645,82001,56021
U.s. Air Force F.e. Warren AFB,980,82001,56021
West Winds,1057,82001,56021
Winchester Hills,1113,82001,56021
Antelope Ridge Hoa,1007,82051,56001
City of Laramie,1993,82051,56001
Nine-mile Water & Sewer District,1471,82051,56001
Rock River Town Of,807,82051,56001
Seven Mile Water & Sewer District,1351,82051,56001
South Laramie W&s District,1157,82051,56001
Sunny Meadows Village,1278,82051,56001
City of Fort Collins,1093,82063,8069
City of Loveland,1519,82063,8069
Ft Collins Loveland WD,1148,82063,8069
CSU Main and West Housing Campus,984,82063,8069
City of Greeley,1457,82082,56021
City of Evans,1688,82082,56021
North Weld County WD,1361,82082,56021
Firestone Town of,936,82082,56021
Johnstown Town of,1383,82082,56021
Frederick Town of,1129,82082,56021
Ft. Lupton City of,932,82082,56021
Baggs Town Of,1433,82083,56001
Dixon Town Of,1240,82083,56001
Elk Mountain Town Of,553,82083,56001
Encampment Town Of,793,82083,56001
Hanna Town Of,699,82083,56001
Medicine Bow Town Of,123,82083,56001
Rawlins Water Supply City Of,1570,82083,56001
Sierra Madre Jpb,1787,82083,56001
Sinclair Town Of,1829,82083,56001
Big Valley & Crossed Arrows Imp District,10,82190,56029
Cody City Of,580,82190,56029
Juby`s Mobile Home Park,551,82190,56029
Meeteetse Town Of,1381,82190,56029
Northwest Rural Water District,412,82190,56029
Powell City Of,879,82190,56029
Rivers Bend Trailer Court,525,82190,56029
Shoshone Municipal Pipeline,564,82190,56029
Ynp-mammoth Hot Springs,821,82190,56029
Chugwater Town Of,332,82201,56031
Glendo Town Of,811,82201,56031
Guernsey Town Of,29,82201,56031
Hartville Town Of,970,82201,56031
Wheatland Town Of,321,82201,56031
Y-o Investments Inc.,661,82201,56031
Cottonwood Acres,105,82210,56031
Dillman Estates,1628,82210,56031
Fort Laramie Town Of,979,82210,56031
La Grange Town Of,2477,82210,56031
Lingle Town Of,1021,82210,56031
Potlatch Trailer Court,1654,82210,56031
South Torrington Water District,1635,82210,56031
Torrington Municipal Ws,1349,82210,56031
Yoder Town Of,84,82210,56031
Lance Creek Water District,1204,82222,56027
Lusk Town Of,1289,82222,56027
Douglas Koacg & Pine Meadows Mobile Home Park,794,82224,56009
Douglas City Of,1159,82224,56009
Fairway Estates,2251,82224,56009
Glenrock Town Of,483,82224,56009
Ridgewater Improvement District,792,82224,56009
Rolling Hills Town Of,0,82224,56009
Sundance Meadows Special Imp District (smsid,1078,82224,56009
A & J Mobile Home Park,14,82310,56013
B&k Mobile Home Park,1125,82310,56013
City of Riverton,368,82310,56013
Cozy Mobile Home Park,0,82310,56013
Dubois Town Of,567,82310,56013
Farview Water and Sewer District,0,82310,56013
Gardens North Home Owners Association,229,82310,56013
Jeffrey City Water & Sewer District,1171,82310,56013
Juniper Park Water Association,23,82310,56013
Lander City Of,757,82310,56013
Pavillion Town Of,92,82310,56013
Raintree Estates,2,82310,56013
Redd Fox Park Hoa,718,82310,56013
Second Fike Subdivision,0,82310,56013
Shoshoni Town Of,39,82310,56013
Spencer Homesite Water Association,87,82310,56013
Sunridge Estates,1043,82310,56013
Warm Springs Water District,1122,82310,56013
Bairoil Town Of,545,82322,56037
City of Green River,1242,82322,56037
City of Rock Springs,1424,82322,56037
Clearview I&s District,828,82322,56037
Desert Trails Mhc,1316,82322,56037
Farson Mobile Home Court,162,82322,56037
Foothills Village Mobile Home Park,1521,82322,56037
Granger Town Of,1651,82322,56037
Horizon Mobile Home Park,6,82322,56037
Jamestown-rio Vista W&s District,1274,82322,56037
Lewis Mobile Home Park,1396,82322,56037
Little America Hotels & Resorts Inc- Wy,1914,82322,56037
Mobile Corrals/stalls Court,1342,82322,56037
Pioneer Mobile Home Park,2,82322,56037
Point Of Rocks Mercantile,1,82322,56037
Rock Springs/green River Jpb,335,82322,56037
Ten Mile Water and Sewer District,968,82322,56037
Volcic Mobile Home Park,1190,82322,56037
W Bar K Mobile Home Park,1737,82322,56037
Wamsutter Town Of,213,82322,56037
Big Horn Regional Jpb,358,82401,56043
Ten Sleep Town Of,30,82401,56043
Washakie Rural Water System,357,82401,56043
Worland Utilities Commission,7,82401,56043
Basin Town Of,86,82410,56003
Burlington Town Of,768,82410,56003
Byron Town Of,568,82410,56003
Cowley Town Of,1005,82410,56003
Deaver Municipal Water System,639,82410,56003
Frannie Town Of,665,82410,56003
Greybull Heights Water Users,12,82410,56003
Hyattville S&i District,525,82410,56003
Lovell Town Of,640,82410,56003
Manderson Town Of,45,82410,56003
Scharen Subdivision,15,82410,56003
Shell Town Water Improvement District,7,82410,56003
South Big Horn County Jpb,74,82410,56003
East Thermopolis Town Of,3099,82430,56017
Kirby Town Of,369,82430,56017
Lucerne Water and Sewer District,364,82430,56017
Owl Creek Water District,1438,82430,56017
Red Lane Domestic Water Inc.,1373,82430,56017
South Thermopolis W&s District,1425,82430,56017
Air Base Acres Improvement & Service Dis,220,82601,56025
Alcova Dam Trailer Park,31,82601,56025
Broken Wrench Llc,243,82601,56025
Central Wy Reg Water Sys Jpb,648,82601,56025
City of Casper,868,82601,56025
Countryside Court,1010,82601,56025
Edgerton Town Of,648,82601,56025
Evansville Town Of,1584,82601,56025
Lakeview I&s District,648,82601,56025
Midwest Town Of,648,82601,56025
Mile-hi I&s District,220,82601,56025
Mills Town Of,2188,82601,56025
Natrona County Int'l Airport,220,82601,56025
Riverside T. C. (sections B C & E),220,82601,56025
Riverside Trailer Court,551,82601,56025
Sandy Lake Estates I&s District,648,82601,56025
South Riverside Acres Water Improvement District,33,82601,56025
Thirty-three Mile Road I & SD,648,82601,56025
Vista West Water Company,220,82601,56025
Wardwell Water & Sewer District,648,82601,56025
Kaycee Town Of,672,82639,56019
Cambria I&s District,1044,82701,56045
Canyon Improvement & Service District,877,82701,56045
Osage Water District,677,82701,56045
Salt Creek Water District,1292,82701,56045
Sunset Ranch Water District,1044,82701,56045
Sweetwater I&s District,262,82701,56045
Upton Town Of,503,82701,56045
Water Unlimited Incorporated,783,82701,56045
Beulah Land Water,524,82710,56011
Buckmiller Enterprises Llc,161,82710,56011
Hulett Town Of,606,82710,56011
Pine Haven Town Of,521,82710,56011
Roberts Trailer Park,1576,82710,56011
Vista West Improvement & Serv District,1382,82710,56011
City of Gillette,843,82716,56005
Wright Water & Sewer District,155,82716,56005
Fox Park Subdivision,278,82716,56005
City of Sheridan,1330,82801,56033
Clearmont Town Of,541,82801,56033
Downer Neighborhood I&s District,1330,82801,56033
Ranchester Town Of,455,82801,56033
Big Piney Town Of,22,82922,56035
Marbleton Town Of,10,82922,56035
Bear River Regional Joint Powers,2313,82930,49043
Bridger Valley Joint Powers Board,1943,82930,49043
City of Evanston,2318,82930,49043
Hoytsville Pipe Water Company,194,82930,49043
Lyman Town Of,2544,82930,49043
Mountain View Town Of,2681,82930,49043
Yellow Creek Estates Mobile Home Park,3,82930,49043
Aspens Pines Water & Sewer District,501,83001,56039
Melody Ranch Improvement & Service District,1622,83001,56039
Afton Board Of Pub Utilities,26,83101,56023
Alpine Town Of,97,83101,56023
Bedford Water & Sewer District,5,83101,56023
Cokeville Town Of,505,83101,56023
Etna Water & Sewer District,6,83101,56023
Fairview Water & Sewer District,10,83101,56023
Greater Smoot W&s District,0,83101,56023
Grover Water & Sewer District,33,83101,56023
Kemmerer-diamondville Jpb,1507,83101,56023
Kennington Springs Pipeline,2,83101,56023
La Barge Town Of,1010,83101,56023
Leisure Valley Inc/ Star Valley Rv Park,13,83101,56023
Nordic Ranches Water Llc.,64,83101,56023
North Alpine I&s District,34,83101,56023
Opal Town Of,9,83101,56023
Osmond Pipeline Co.,1,83101,56023
Star Valley Ranch Town Of,31,83101,56023
Star View Estates,8,83101,56023
Thayne Town Of,26,83101,56023
Trail Ridge Water System,5,83101,56023
Westview Village,3,83101,56023
Montpelier City of,28,83114,56023
Soda Springs City of,42,83120,16019
Creswell Heights Jt Authority,1080,15001,42007
Center Twp Water Authority,1236,15001,42007
Harshbarger Mobile Home Park,397,15001,42007
Moon Twp Municipal Authority,1546,15001,42007
Shippingport Borough Water System,1672,15001,42007
Edgeworth Borough Municipal Authority,1413,15003,42007
Baden Borough Water Department,1943,15005,42007
Borough of Conway,1119,15005,42007
West View Water Authority,1226,15005,42007
New Sewickley Township Municipal Authority,1200,15005,42007
Cranberry Twp WTP,1391,15005,42007
Beaver Falls Municipal Authority,1766,15009,42007
Beaver Borough Municipal Authority,272,15009,42007
Vanport Township Municipal Authority,260,15009,42007
Industry Borough Municipal Authority,89,15009,42007
Ohioville Borough Municipal Authority,1299,15009,42007
North Sewickley Municipal Water Authority,1022,15010,42007
Pinehurst Mobile Estates,306,15010,42007
Belle Vernon Borough Municipal Authority,1853,15012,42129
Authority of Boro of Charleroi,1897,15012,42129
Harrison Twp Water Authority,1364,15014,42003
Tarentum Borough Water Department,1392,15014,42003
Harmar Township Muni Authority,453,15024,42003
Cheswick Borough Water Department,589,15024,42003
Fox Chapel Authority,1285,15024,42003
Fawn Frazer Jt Water Authority,1301,15024,42003
Springdale Borough Water Department,580,15024,42003
Independence Park,42,15026,42007
Ankrom Acres Mobile Home Park,1001,15026,42007
Ambridge Water Authority,2235,15027,42007
West Cnty Muni Auth-mckeesport,1941,15034,42003
Forest Brook Mobile Home Park,744,15042,42007
Knob Vue Estates,299,15042,42007
Colonial Glenn Estates,177,15042,42007
Penn Hills Estate of Rochester,115,15042,42007
Oakmont Water Authority,1896,15044,42003
Hampton Shaler Water Authority,1042,15044,42003
Brighton Township Municipal Authority,1020,15052,42007
Midland Borough Municipal Authority,1709,15052,42007
Western Allegheny County Mun A,1441,15057,42125
Glasgow Municipal Water Works,454,15059,42007
Monaca Borough Water Department,394,15061,42007
Brackenridge Borough Water Department,1256,15065,42003
Plum Boro Municipal Authority,1850,15068,42129
Robinson Twp Municipal Authority,1396,15071,42003
Oakdale Borough Water Department,1131,15071,42003
Little Creek Estates M H P,244,15074,42007
Whispering Woods,48,15074,42007
East Deer Township Water Department,1459,15084,42003
Wilkinsburg-penn Joint Water Authority,1432,15085,42129
Monroeville Municipal Authority,1976,15085,42129
Braddock Borough Water Authority,1789,15104,42003
Duquesne Water Department,2112,15104,42003
Findlay Township Municipal Authority,1539,15108,42003
Coraopolis Water & Sewer Authority,1234,15108,42003
Neville Township Water Department,1487,15108,42003
Pittsburgh Water & Sewer Authority,1712,15123,42003
Sewickley Borough Water Authority,425,15143,42003
Aleppo Township Authority,1314,15143,42003
Carson Towers,1912,15203,42003
Reserve Township Water Department,1619,15209,42003
Aspinwall Borough Water Department,905,15215,42003
Blawnox Borough Water Department,1221,15238,42003
Southwestern Pennsylvania Water Authority,1963,15301,42125
Brave Water Authority,1407,15310,42059
East Dunkard Water Authority,825,15310,42059
Mount Morris Water & Sewage Authority,2106,15310,42059
Bentleyville Municipal Authority,1936,15314,42125
Ellsworth Borough Water Department,1999,15314,42125
Tri County Joint Municipal Authority,2794,15322,42059
Albert Gallatin Municipal Authority,1284,15327,42059
Marianna Municipal Water Works,1917,15345,42125
Deer Lodge Mobile Home Park,4,15365,42125
Donegal Township,1621,15365,42125
Fairchance Borough Water Department,1416,15401,42051
Indian Creek Valley Water Authority,188,15416,42051
Jefferson Township Authority,2114,15416,42051
Masontown Municipal Water Works,1853,15416,42051
National Pike Water Authority,160,15416,42051
Nemacolin Woodlands,419,15416,42051
New Meadow Run,127,15416,42051
Newell Municipal Authority,854,15416,42051
North Fayette Cnty Municipal Authority,1385,15416,42051
Pa-american Water Co-connellsv,7881,15416,42051
Point Marion Borough,1309,15416,42051
State Line Municipal Services Authority,1169,15416,42051
Confluence Borough Municipal Authority,179,15424,42111
Addison Area Water Authority,177,15424,42111
Lincoln Township Municipal Authority,1444,15501,42111
Somerset Borough Municipal Water Authority,1070,15501,42111
Hidden Valley Resort Lp,118,15501,42111
Somerset County Quemahoning System,1046,15501,42111
Gray Area Water Authority of Jen Township,32,15501,42111
Somerset Estates Mobile Home Park,12,15501,42111
Glades Pike Estates Mobile Home Park Llc,1,15501,42111
Bedford Borough Water Authority,1184,15522,42009
Snake Spring Township Ma,403,15522,42009
Rainsburg Borough Water,51,15522,42009
Evitts Creek Water Company,1118,15522,42009
Brookwood Countryside,54,15522,42009
Jennerstown Municipal Authority,67,15531,42111
Conemaugh Township Municipal Authority,858,15531,42111
Jenner Township Municipal Authority,1204,15531,42111
Greater Johnstown Wa Riverside,1545,15531,42111
Windber Area Authority,234,15532,42111
Meyersdale Municipal Authority,1051,15532,42111
Countryside Acres LLC,420,15533,42009
Crestview Mobile Home Park,0,15533,42009
Bedford Township Municipal Authority,24,15535,42009
Blue Knob Water Company,1665,15535,42009
Brush Creek Country Estates,2497,15535,42009
Centerville Muni Water Authority,1945,15535,42009
Coaldale Six Mile Run Water,462,15535,42009
Defiance Water Association,151,15535,42009
Everett Borough Municipal Authority,99,15535,42009
Fishertown Water Association,29,15535,42009
Hillside Terrace Mobile Home Park,133,15535,42009
Hyndman Borough Water Department,309,15535,42009
New Enterprise Water Association,133,15535,42009
Osterburg Water Company,2,15535,42009
Salemville Water Association,149,15535,42009
Saxton Municipal Water Authority,1006,15535,42009
W Stclair Pleasantville Municipal,87,15535,42009
Waterside Loysburg Water Suppl,167,15535,42009
Woodbury Water Authority,338,15535,42009
Mcconnellsburg Borough Municipal Authority,967,15536,42057
Belfast Township Muni Authority,57,15536,42057
Wells Tannery Water System,192,15536,42057
Somerset Township Listie Water System,417,15541,42111
Indian Lake Borough Waterworks,223,15541,42111
Brook Haven Acres,1,15541,42111
Rest Assured Assisted Living,6,15552,42111
Seven Springs Municipal Authority,115,15557,42111
Rockwood Borough Municipal Authority,94,15557,42111
Milford Township Municipal Authority,566,15557,42111
Reading Mines,133,15563,42111
Wilbur Community Water,398,15563,42111
Stonebridge Gardens Mobile Home Park,6,15563,42111
Latrobe Municipal Authority,1056,15601,42129
New Kensington Municipal Authority,1640,15613,42129
Derry Borough Municipal Authority,1029,15619,42129
Fairfield Manor Mobile Home Park,100,15619,42129
Highridge Water Authority,1788,15619,42129
Ligonier Township Muni Authority,155,15619,42129
Little Acres Mobile Home Park,122,15619,42129
Mawc Furnace Run,1695,15619,42129
Pine Garden Apartments,52,15619,42129
Pineview Manor Mobile Home Park,271,15619,42129
Sun Dial Village Mobile Home Park,456,15619,42129
Torrance State Hospital,920,15619,42129
Youngstown Borough Municipal Authority,1236,15619,42129
Parks Township Municipal Authority,1671,15656,42129
Buffalo Township Municipal Authority Freeport,1272,15656,42129
